sd4,sd5,sd6,sd1,sd2,sd3,q1,q3,q2,q5,q4,eligible,respondents,avg5,avg6,term,response_rate,name,q6,n5,n6,avg4,n1,n2,n3,n4,avg1,avg2,avg3
1.25,0.68,1.05,0.92,0.89,0.89,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'22'],[u'15'],5.0,4.2,Fall 2013,[u'68%'],6.013&nbsp;Electromagnetics and Applications,Average hours you spent per week on this subject in the classroom,14,14,5.8,14,14,14,14,6.1,6.2,6.2
1.11,0.82,3.35,0.69,0.7,0.74,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'34'],[u'24'],4.4,4.8,Fall 2013,[u'71%'],2.791&nbsp;Cellular Biophysics and Neurophysiology,Average hours you spent per week on this subject in the classroom,24,24,5.8,24,24,24,23,6.0,6.3,6.3
1.28,0.83,1.09,1.28,1.1,1.73,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'40'],[u'30'],5.2,4.3,Fall 2013,[u'75%'],2.75&nbsp;Medical Device Design,Average hours you spent per week on this subject in the classroom,29,30,5.4,30,30,30,30,5.4,5.6,4.4
1.38,0.71,1.06,1.14,1.22,1.63,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'250'],[u'134'],3.9,3.3,Fall 2013,[u'54%'],6.034&nbsp;Artificial Intelligence,Average hours you spent per week on this subject in the classroom,123,121,5.9,122,123,124,122,6.2,6.0,5.5
1.34,1.01,1.19,1.07,0.99,1.01,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'85'],[u'79'],4.4,4.2,Fall 2013,[u'93%'],6.041&nbsp;Probabilistic Systems Analysis,Average hours you spent per week on this subject in the classroom,75,77,5.9,77,77,77,76,6.0,6.1,6.2
1.67,1.08,0.68,1.38,1.32,1.64,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'243'],[u'136'],4.7,5.0,Fall 2013,[u'56%'],6.042&nbsp;Mathematics for Computer Science,Average hours you spent per week on this subject in the classroom,123,124,5.0,124,123,124,121,5.5,5.4,5.2
1.56,1.03,1.39,1.25,1.36,1.12,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'161'],[u'89'],4.9,3.3,Fall 2013,[u'55%'],6.046&nbsp;Design and Analysis of Algorithms,Average hours you spent per week on this subject in the classroom,82,81,5.3,81,81,81,81,5.7,5.6,6.1
0.57,0.81,0.81,1.32,0.94,0.7,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'38'],[u'20'],4.8,3.2,Fall 2013,[u'53%'],"6.047&nbsp;Computational Biology: Genomes, Networks, Evolution",Average hours you spent per week on this subject in the classroom,18,18,6.7,17,18,18,18,5.9,5.9,6.6
0.0,0.74,0.0,0.71,0.0,0.46,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'8'],3.6,3.0,Fall 2013,[u'67%'],6.070&nbsp;Electronics Project Laboratory,Average hours you spent per week on this subject in the classroom,8,8,7.0,8,8,8,8,6.8,7.0,6.8
0.5,0.96,0.0,0.82,1.26,0.96,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'7'],[u'4'],4.3,3.0,Fall 2013,[u'57%'],6.072&nbsp;Introduction to Digital Electronics,Average hours you spent per week on this subject in the classroom,4,4,6.8,4,4,4,4,6.0,5.8,5.8
1.17,0.62,1.07,0.86,0.62,0.61,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'29'],[u'18'],4.5,5.5,Fall 2013,[u'62%'],6.073&nbsp;Creating Video Games,Average hours you spent per week on this subject in the classroom,17,17,5.8,17,17,17,16,6.4,6.5,6.6
1.08,0.95,3.64,1.0,0.83,1.31,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'27'],[u'23'],4.3,6.3,Fall 2013,[u'85%'],6.111&nbsp;Introductory Digital Systems Laboratory,Average hours you spent per week on this subject in the classroom,22,22,6.1,22,22,22,22,6.0,6.3,6.1
1.02,0.96,8.34,0.58,0.56,0.54,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'33'],[u'19'],4.6,9.8,Fall 2013,[u'58%'],6.131&nbsp;Power Electronics Laboratory,Average hours you spent per week on this subject in the classroom,19,18,6.5,19,19,19,19,6.7,6.7,6.8
1.64,0.64,2.23,1.85,1.06,1.3,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'17'],[u'8'],4.1,4.9,Fall 2013,[u'47%'],3.155&nbsp;Micro/Nano Processing Technology,Average hours you spent per week on this subject in the classroom,8,8,4.1,8,8,8,8,4.6,5.6,5.6
0.96,0.82,2.22,0.82,0.82,0.58,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'4'],5.0,6.3,Fall 2013,[u'44%'],6.161&nbsp;Modern Optics Project Laboratory,Average hours you spent per week on this subject in the classroom,4,4,5.3,4,4,4,4,6.0,6.0,6.5
0.76,1.27,0.38,0.53,0.76,0.49,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'11'],[u'7'],4.4,5.1,Fall 2013,[u'64%'],6.163&nbsp;Strobe Project Laboratory,Average hours you spent per week on this subject in the classroom,7,7,6.3,7,7,7,7,6.4,6.7,6.7
0.0,0.36,2.02,0.74,0.41,0.26,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'21'],[u'16'],3.9,2.3,Fall 2013,[u'76%'],6.169&nbsp;Theory and Application of Circuits and Electronics,Average hours you spent per week on this subject in the classroom,14,15,7.0,15,15,15,14,6.5,6.8,6.9
1.74,0.99,0.79,1.54,1.16,0.78,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'118'],[u'70'],4.8,3.5,Fall 2013,[u'59%'],6.170&nbsp;Software Studio,Average hours you spent per week on this subject in the classroom,66,67,4.8,66,66,66,66,5.5,6.0,6.4
1.11,1.05,1.88,0.87,1.02,1.1,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'57'],[u'33'],4.8,4.4,Fall 2013,[u'58%'],6.172&nbsp;Performance Engineering of Software Systems,Average hours you spent per week on this subject in the classroom,32,32,6.3,32,32,32,32,6.2,6.3,6.4
0.72,1.14,0.81,0.75,1.01,0.95,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'20'],[u'18'],4.1,4.2,Fall 2013,[u'90%'],6.251&nbsp;Introduction to Mathematical Programming,Average hours you spent per week on this subject in the classroom,17,17,6.1,17,17,17,16,5.9,5.8,5.8
1.45,1.29,0.65,1.58,1.43,1.72,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'24'],[u'19'],4.9,3.7,Fall 2013,[u'79%'],6.254&nbsp;Game Theory with Engineering Applications,Average hours you spent per week on this subject in the classroom,19,19,5.9,19,19,18,19,5.5,5.5,5.5
0.86,1.2,0.62,1.46,1.14,0.6,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'58'],[u'40'],5.0,3.7,Fall 2013,[u'69%'],6.255&nbsp;Optimization Methods,Average hours you spent per week on this subject in the classroom,38,37,6.1,38,38,38,37,6.1,6.1,6.5
0.43,0.97,0.55,0.84,0.65,0.76,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'19'],[u'14'],4.2,3.2,Fall 2013,[u'74%'],6.265&nbsp;Advanced Stochastic Processes,Average hours you spent per week on this subject in the classroom,14,13,6.8,14,14,14,14,6.4,6.4,6.5
0.55,0.45,0.55,0.0,0.45,1.22,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'8'],[u'7'],4.2,3.6,Fall 2013,[u'88%'],"6.267&nbsp;Heterogeneous Networks: Architecture, Transport, Proctocols, and Management",Average hours you spent per week on this subject in the classroom,5,5,6.4,5,5,5,5,6.0,6.2,6.0
0.37,1.08,0.54,0.84,1.43,1.16,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'22'],[u'20'],4.2,3.2,Fall 2013,[u'91%'],1.203&nbsp;Logistical and Transportation Planning Methods,Average hours you spent per week on this subject in the classroom,19,19,6.8,19,19,19,19,6.5,6.4,6.6
1.0,0.99,1.8,0.75,0.69,1.03,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'31'],[u'21'],4.7,4.4,Fall 2013,[u'68%'],6.301&nbsp;Solid-State Circuits,Average hours you spent per week on this subject in the classroom,19,19,6.3,19,19,19,19,6.3,6.4,6.2
0.58,1.26,0.0,0.58,0.96,0.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'4'],[u'4'],5.8,5.0,Fall 2013,[u'100%'],6.331&nbsp;Advanced Circuit Techniques,Average hours you spent per week on this subject in the classroom,4,2,6.7,4,4,4,3,6.5,6.3,7.0
0.93,0.88,0.63,1.18,0.93,0.88,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'32'],[u'24'],4.0,2.9,Fall 2013,[u'75%'],6.332&nbsp;Advanced Topics in Circuits,Average hours you spent per week on this subject in the classroom,24,23,6.6,24,24,24,21,6.0,6.4,6.6
0.85,0.95,0.46,1.22,1.2,0.78,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'82'],[u'70'],4.3,3.1,Fall 2013,[u'85%'],2.096&nbsp;Introduction to Numerical Simulation,Average hours you spent per week on this subject in the classroom,67,66,6.5,66,66,67,66,6.0,6.0,6.4
1.18,0.92,0.41,1.56,1.47,1.62,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'34'],[u'25'],5.3,3.1,Fall 2013,[u'74%'],6.337&nbsp;Introduction to Numerical Methods,Average hours you spent per week on this subject in the classroom,24,24,5.8,24,24,24,22,5.6,5.6,6.0
1.17,0.92,0.67,1.73,1.29,2.01,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'19'],[u'12'],3.8,3.3,Fall 2013,[u'63%'],6.338&nbsp;Parallel Computing,Average hours you spent per week on this subject in the classroom,10,10,5.8,11,11,11,6,5.0,5.4,5.4
1.29,0.92,0.19,0.85,0.95,1.21,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'34'],[u'30'],4.7,3.0,Fall 2013,[u'88%'],2.097&nbsp;Numerical Methods for Partial Differential Equations,Average hours you spent per week on this subject in the classroom,30,29,6.0,29,29,29,28,6.3,6.2,6.5
1.06,1.01,1.03,0.69,0.47,0.56,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'18'],[u'17'],4.5,4.2,Fall 2013,[u'94%'],6.341&nbsp;Discrete-Time Signal Processing,Average hours you spent per week on this subject in the classroom,17,17,6.4,17,17,17,17,6.7,6.7,6.8
1.1,1.06,0.67,1.04,1.06,1.16,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'16'],[u'13'],5.3,3.3,Fall 2013,[u'81%'],6.374&nbsp;Analysis and Design of Digital Integrated Circuits,Average hours you spent per week on this subject in the classroom,12,10,6.0,11,12,12,11,5.5,5.8,5.9
1.34,1.01,1.19,1.07,0.99,1.01,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'85'],[u'79'],4.4,4.2,Fall 2013,[u'93%'],6.041&nbsp;Probabilistic Systems Analysis,Average hours you spent per week on this subject in the classroom,75,77,5.9,77,77,77,76,6.0,6.1,6.2
0.35,1.3,0.0,0.76,0.52,0.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'10'],[u'8'],4.4,3.0,Fall 2013,[u'80%'],6.434&nbsp;Statistics for Engineers and Scientists,Average hours you spent per week on this subject in the classroom,8,8,6.9,8,8,8,8,6.5,6.6,7.0
1.4,0.73,0.56,1.22,1.07,1.13,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'18'],[u'18'],5.5,3.9,Fall 2013,[u'100%'],6.436&nbsp;Fundamentals of Probability,Average hours you spent per week on this subject in the classroom,16,17,5.3,17,17,17,17,5.4,5.8,5.8
1.19,0.97,0.57,1.58,1.38,1.36,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'45'],[u'34'],5.0,3.8,Fall 2013,[u'76%'],6.438&nbsp;Algorithms for Inference,Average hours you spent per week on this subject in the classroom,31,30,5.8,31,31,31,31,5.1,5.4,5.4
1.13,1.28,0.71,0.53,0.89,0.89,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'8'],5.3,3.3,Fall 2013,[u'89%'],6.450&nbsp;Principles of Digital Communication,Average hours you spent per week on this subject in the classroom,8,8,6.1,8,8,8,8,6.5,5.8,6.3
0.5,0.5,0.5,0.58,0.0,0.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'4'],[u'4'],5.3,3.3,Fall 2013,[u'100%'],6.456&nbsp;Array Processing,Average hours you spent per week on this subject in the classroom,4,4,6.8,4,4,4,4,6.5,7.0,7.0
1.11,0.82,3.35,0.69,0.7,0.74,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'34'],[u'24'],4.4,4.8,Fall 2013,[u'71%'],2.791&nbsp;Cellular Biophysics and Neurophysiology,Average hours you spent per week on this subject in the classroom,24,24,5.8,24,24,24,23,6.0,6.3,6.3
1.28,0.83,1.09,1.28,1.1,1.73,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'40'],[u'30'],5.2,4.3,Fall 2013,[u'75%'],2.75&nbsp;Medical Device Design,Average hours you spent per week on this subject in the classroom,29,30,5.4,30,30,30,30,5.4,5.6,4.4
0.0,0.0,0.0,0.0,0.0,0.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'2'],[u'2'],4.0,5.0,Fall 2013,[u'100%'],6.551&nbsp;Acoustics of Speech and Hearing,Average hours you spent per week on this subject in the classroom,1,1,7.0,1,1,1,1,7.0,7.0,7.0
0.52,0.58,0.0,1.19,1.31,0.52,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'8'],[u'8'],4.0,3.0,Fall 2013,[u'100%'],6.556&nbsp;Data Acquisition and Image Reconstruction in MRI,Average hours you spent per week on this subject in the classroom,7,8,6.4,8,8,8,8,5.6,6.0,6.4
1.13,1.09,1.1,1.29,1.21,1.41,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'40'],[u'29'],4.9,3.4,Fall 2013,[u'72%'],"2.795&nbsp;Fields, Forces, and Flows in Biological Systems",Average hours you spent per week on this subject in the classroom,29,28,5.6,29,29,29,28,5.2,5.2,5.2
1.0,0.89,0.45,1.52,1.64,0.45,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'5'],3.6,3.2,Fall 2013,[u'42%'],6.580&nbsp;Principles of Synthetic Biology,Average hours you spent per week on this subject in the classroom,5,5,6.0,5,5,5,5,5.4,5.8,6.2
1.0,0.89,0.45,1.52,1.64,0.45,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'5'],3.6,3.2,Fall 2013,[u'42%'],6.580&nbsp;Principles of Synthetic Biology,Average hours you spent per week on this subject in the classroom,5,5,6.0,5,5,5,5,5.4,5.8,6.2
0.55,0.84,0.0,0.55,0.55,0.89,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'8'],[u'5'],4.8,3.0,Fall 2013,[u'62%'],6.631&nbsp;Optics and Photonics,Average hours you spent per week on this subject in the classroom,5,5,6.4,5,5,5,5,6.4,6.4,6.4
0.96,0.82,2.22,0.82,0.82,0.58,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'4'],5.0,6.3,Fall 2013,[u'44%'],6.161&nbsp;Modern Optics Project Laboratory,Average hours you spent per week on this subject in the classroom,4,4,5.3,4,4,4,4,6.0,6.0,6.5
0.49,0.79,2.24,0.95,0.9,0.79,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'7'],[u'7'],3.6,5.0,Fall 2013,[u'100%'],"6.641&nbsp;Electromagnetic Fields, Forces, and Motion",Average hours you spent per week on this subject in the classroom,7,7,6.7,7,7,7,7,6.3,6.1,6.6
1.55,1.17,2.42,1.23,0.99,0.71,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'14'],[u'10'],4.4,4.1,Fall 2013,[u'71%'],6.651&nbsp;Introduction to Plasma Physics I,Average hours you spent per week on this subject in the classroom,10,10,5.8,10,10,10,10,6.2,6.1,6.5
1.1,1.83,0.0,2.39,1.83,0.89,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'5'],[u'5'],5.0,3.0,Fall 2013,[u'100%'],6.685&nbsp;Electric Machines,Average hours you spent per week on this subject in the classroom,4,4,5.2,5,4,5,5,4.2,5.0,5.4
1.98,1.0,0.43,0.45,0.45,0.67,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'16'],[u'14'],4.9,4.0,Fall 2013,[u'88%'],3.43&nbsp;Integrated Microelectronic Devices,Average hours you spent per week on this subject in the classroom,12,12,5.1,12,12,12,12,6.8,6.8,6.5
1.02,0.86,1.1,0.75,0.8,0.69,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'29'],[u'20'],5.3,4.6,Fall 2013,[u'69%'],6.728&nbsp;Applied Quantum and Statistical Physics,Average hours you spent per week on this subject in the classroom,20,20,6.5,20,20,20,19,6.4,6.3,6.6
0.52,0.0,0.0,1.21,0.84,0.52,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'7'],[u'6'],4.0,3.0,Fall 2013,[u'86%'],6.763&nbsp;Applied Superconductivity,Average hours you spent per week on this subject in the classroom,6,6,6.7,6,6,6,6,6.3,6.5,6.7
0.71,0.75,0.3,0.69,1.19,0.69,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'13'],[u'12'],4.2,3.1,Fall 2013,[u'92%'],6.774&nbsp;Physics of Microfabrication: Front End Processing,Average hours you spent per week on this subject in the classroom,11,11,6.5,11,11,11,10,6.5,6.3,6.5
0.7,0.42,0.0,1.03,0.97,0.52,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'10'],4.2,3.0,Fall 2013,[u'83%'],6.801&nbsp;Machine Vision,Average hours you spent per week on this subject in the classroom,10,9,6.4,10,10,10,10,6.2,6.4,6.6
0.9,1.27,0.91,1.3,1.15,0.85,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'41'],[u'24'],4.4,3.5,Fall 2013,[u'59%'],6.804&nbsp;Computational Cognitive Science,Average hours you spent per week on this subject in the classroom,23,22,6.6,23,23,23,23,6.2,6.2,6.5
1.37,0.86,0.24,1.37,0.88,0.83,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'29'],[u'17'],4.6,3.1,Fall 2013,[u'59%'],6.805&nbsp;Ethics and the Law on the Electronic Frontier,Average hours you spent per week on this subject in the classroom,17,17,5.4,17,17,17,17,6.0,6.2,6.2
1.11,1.11,1.11,1.04,0.68,1.32,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'26'],[u'22'],4.3,5.3,Fall 2013,[u'85%'],6.811&nbsp;Principles and Practice of Assistive Technology,Average hours you spent per week on this subject in the classroom,21,19,6.3,21,21,21,19,5.9,6.5,6.0
